ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-02-27,8346.271741578867,7114.034150475832,8464.125260482166,8346.271741578867,8346.271741578867,-528.5902586699094,-528.5902586699094,-528.5902586699094,135.6646311448939,135.6646311448939,135.6646311448939,-664.2548898148033,-664.2548898148033,-664.2548898148033,0.0,0.0,0.0,7817.681482908957
2023-02-28,8344.501461653332,7177.073624354959,8609.334571087627,8344.501461653332,8344.501461653332,-458.09523641114066,-458.09523641114066,-458.09523641114066,201.03915771970742,201.03915771970742,201.03915771970742,-659.1343941308481,-659.1343941308481,-659.1343941308481,0.0,0.0,0.0,7886.406225242191
2023-03-01,8342.731181727797,7160.846237657092,8571.25112996746,8342.731181727797,8342.731181727797,-419.34816724159907,-419.34816724159907,-419.34816724159907,233.4713864359604,233.4713864359604,233.4713864359604,-652.8195536775595,-652.8195536775595,-652.8195536775595,0.0,0.0,0.0,7923.383014486198
2023-03-02,8340.960901802262,7240.995833663157,8583.838313462138,8340.960901802262,8340.960901802262,-426.62603630460626,-426.62603630460626,-426.62603630460626,218.76751542645258,218.76751542645258,218.76751542645258,-645.3935517310588,-645.3935517310588,-645.3935517310588,0.0,0.0,0.0,7914.334865497656
2023-03-07,8332.109502174586,7235.116164348031,8574.688314666464,8332.109502174586,8332.109502174586,-396.06796309934896,-396.06796309934896,-396.06796309934896,201.03915772098406,201.03915772098406,201.03915772098406,-597.107120820333,-597.107120820333,-597.107120820333,0.0,0.0,0.0,7936.041539075237
2023-03-08,8330.339222249053,7245.334174342015,8646.029902272829,8330.339222249053,8330.339222249053,-353.26981072950423,-353.26981072950423,-353.26981072950423,233.47138643853495,233.47138643853495,233.47138643853495,-586.7411971680392,-586.7411971680392,-586.7411971680392,0.0,0.0,0.0,7977.069411519548
2023-03-09,8328.568942323518,7298.200723571769,8726.552270689348,8328.568942323518,8328.568942323518,-357.97597905727844,-357.97597905727844,-357.97597905727844,218.76751542437148,218.76751542437148,218.76751542437148,-576.7434944816499,-576.7434944816499,-576.7434944816499,0.0,0.0,0.0,7970.592963266239
2023-03-13,8321.487822621377,7267.162946668972,8619.871231544088,8321.487822621377,8321.487822621377,-410.2892823027183,-410.2892823027183,-410.2892823027183,135.66463114543282,135.66463114543282,135.66463114543282,-545.9539134481512,-545.9539134481512,-545.9539134481512,0.0,0.0,0.0,7911.198540318658
2023-03-14,8319.717542695842,7325.849101457274,8742.773006313837,8319.717542695842,8319.717542695842,-340.8174718812503,-340.8174718812503,-340.8174718812503,201.03915772041185,201.03915772041185,201.03915772041185,-541.8566296016621,-541.8566296016621,-541.8566296016621,0.0,0.0,0.0,7978.900070814591
2023-03-15,8317.947262770307,7295.064347799685,8691.710386440447,8317.947262770307,8317.947262770307,-306.1822649703079,-306.1822649703079,-306.1822649703079,233.47138643728647,233.47138643728647,233.47138643728647,-539.6536514075945,-539.6536514075945,-539.6536514075945,0.0,0.0,0.0,8011.764997799999
